label,t_sec,avg_fps,avg_frame_ms,best_frame_ms,worst_frame_ms,mono_used_mb,total_reserved_mb,gc_count_total
Laptop_3050Ti,4.5,0.2,4493.43,4493.43,4493.43,653.4,1448.5,537
Laptop_3050Ti,5.9,0.7,1404.40,1404.40,1404.40,659.1,1475.5,537
Laptop_3050Ti,6.9,155.9,6.42,3.90,82.95,659.4,1475.5,537
Laptop_3050Ti,7.9,207.1,4.83,3.96,19.29,660.9,1475.5,537
Laptop_3050Ti,8.9,205.1,4.88,3.95,7.25,663.2,1475.5,537
Laptop_3050Ti,9.9,201.2,4.97,3.89,10.70,666.2,1475.5,537
Laptop_3050Ti,10.9,203.9,4.90,3.92,9.48,669.6,1475.5,537
Laptop_3050Ti,11.9,205.9,4.86,3.83,26.82,673.3,1475.5,537
Laptop_3050Ti,12.9,220.3,4.54,3.85,6.60,677.2,1475.5,537
Laptop_3050Ti,13.9,204.7,4.89,3.73,27.08,680.8,1475.5,537
Laptop_3050Ti,14.9,231.5,4.32,3.60,7.00,684.9,1475.5,537
Laptop_3050Ti,15.9,229.9,4.35,3.55,6.87,689.0,1475.5,537
Laptop_3050Ti,16.9,232.2,4.31,3.57,7.34,693.1,1475.5,537
Laptop_3050Ti,17.9,232.4,4.30,3.64,6.34,697.2,1475.5,537
Laptop_3050Ti,18.9,232.5,4.30,3.68,6.61,701.3,1475.5,537
Laptop_3050Ti,19.9,234.2,4.27,3.72,7.51,705.4,1475.5,537
Laptop_3050Ti,20.9,237.7,4.21,3.62,6.37,710.2,1475.5,537
Laptop_3050Ti,21.9,239.4,4.18,3.65,8.88,714.7,1475.5,537
Laptop_3050Ti,22.9,239.4,4.18,3.65,6.79,719.3,1475.5,537
Laptop_3050Ti,23.9,241.1,4.15,3.71,6.23,723.9,1475.5,537
Laptop_3050Ti,24.9,243.4,4.11,3.65,6.42,728.5,1475.5,537
Laptop_3050Ti,25.9,244.0,4.10,3.66,6.10,733.1,1475.5,537
Laptop_3050Ti,26.9,221.9,4.51,3.63,34.32,674.3,1491.5,540
Laptop_3050Ti,27.9,238.2,4.20,3.71,6.44,674.9,1491.5,540
Laptop_3050Ti,28.9,239.9,4.17,3.56,6.33,676.2,1491.5,540
Laptop_3050Ti,30.0,239.3,4.18,3.70,6.16,678.1,1491.5,540
Laptop_3050Ti,31.0,238.7,4.19,3.63,6.34,680.8,1491.5,540
Laptop_3050Ti,32.0,240.4,4.16,3.71,6.27,684.1,1491.5,540
Laptop_3050Ti,33.0,239.7,4.17,3.63,6.11,687.4,1491.5,540
Laptop_3050Ti,34.0,217.8,4.59,3.74,8.28,690.5,1491.5,540
Laptop_3050Ti,35.0,233.6,4.28,3.57,7.46,693.9,1491.5,540
Laptop_3050Ti,36.0,187.5,5.33,4.03,9.69,696.6,1491.5,540
Laptop_3050Ti,37.0,224.0,4.47,3.55,7.25,699.8,1491.5,540
Laptop_3050Ti,38.0,226.1,4.42,3.69,6.60,703.1,1491.5,540
Laptop_3050Ti,39.0,229.9,4.35,3.63,7.04,706.4,1491.5,540
Laptop_3050Ti,40.0,217.3,4.60,3.63,8.15,709.6,1491.5,540
Laptop_3050Ti,41.0,237.9,4.20,3.66,6.93,712.9,1491.5,540
Laptop_3050Ti,42.0,236.3,4.23,3.70,6.51,716.4,1491.5,540
Laptop_3050Ti,43.0,240.1,4.17,3.65,6.10,720.1,1491.5,540
Laptop_3050Ti,44.0,239.9,4.17,3.64,6.05,723.7,1491.5,540
Laptop_3050Ti,45.0,239.4,4.18,3.64,6.20,727.5,1491.5,540
Laptop_3050Ti,46.0,238.2,4.20,3.74,6.27,731.2,1491.5,540
Laptop_3050Ti,47.0,236.1,4.24,3.66,6.65,735.6,1491.5,540
Laptop_3050Ti,48.0,239.2,4.18,3.60,6.26,740.2,1491.5,540
Laptop_3050Ti,49.0,238.9,4.19,3.62,7.26,744.7,1491.5,540
Laptop_3050Ti,50.0,235.5,4.25,3.50,20.66,677.1,1491.5,543
Laptop_3050Ti,51.0,238.7,4.19,3.55,7.86,677.8,1491.5,543
Laptop_3050Ti,52.0,209.9,4.76,3.49,8.48,678.9,1491.5,543
Laptop_3050Ti,53.0,218.8,4.57,3.66,7.02,680.4,1491.5,543
Laptop_3050Ti,54.0,242.7,4.12,3.48,7.35,683.1,1491.5,543
Laptop_3050Ti,55.0,248.6,4.02,3.53,6.27,686.4,1491.5,543
Laptop_3050Ti,56.0,244.8,4.08,3.54,6.57,689.8,1491.5,543
Laptop_3050Ti,57.0,247.0,4.05,3.56,6.14,693.3,1491.5,543
Laptop_3050Ti,58.0,245.7,4.07,3.54,6.46,696.7,1491.5,543
Laptop_3050Ti,59.0,246.2,4.06,3.51,6.27,700.2,1491.5,543
Laptop_3050Ti,60.0,248.7,4.02,3.49,5.99,703.7,1491.5,543
Laptop_3050Ti,61.0,245.5,4.07,3.56,6.12,707.1,1491.5,543
Laptop_3050Ti,62.0,247.2,4.04,3.48,6.40,710.6,1491.5,543
Laptop_3050Ti,63.0,244.8,4.08,3.53,6.54,714.0,1491.5,543
Laptop_3050Ti,64.0,242.1,4.13,3.51,6.32,717.5,1491.5,543
Laptop_3050Ti,65.0,239.8,4.17,3.53,6.40,721.1,1491.5,543
Laptop_3050Ti,66.0,212.7,4.70,3.74,7.53,724.4,1491.5,543
Laptop_3050Ti,67.0,247.0,4.05,3.53,6.02,728.2,1491.5,543
Laptop_3050Ti,68.0,244.8,4.09,3.56,6.29,732.1,1491.5,543
Laptop_3050Ti,69.0,244.8,4.09,3.49,7.18,735.9,1491.5,543
Laptop_3050Ti,70.0,239.4,4.18,3.48,7.35,739.8,1491.5,543
Laptop_3050Ti,71.0,244.7,4.09,3.47,7.84,744.2,1491.5,543
Laptop_3050Ti,72.0,242.5,4.12,3.48,6.78,749.6,1491.5,543
Laptop_3050Ti,73.0,227.5,4.40,3.48,20.32,679.9,1491.5,546
Laptop_3050Ti,74.0,231.6,4.32,3.51,7.62,680.7,1491.5,546
Laptop_3050Ti,75.0,221.1,4.52,3.56,9.07,682.1,1491.5,546
Laptop_3050Ti,76.0,224.9,4.45,3.46,8.37,684.0,1491.5,546
Laptop_3050Ti,77.0,225.9,4.43,3.47,18.31,686.8,1491.5,546
Laptop_3050Ti,80.1,0.3,3065.19,3065.19,3065.19,687.2,1491.5,546
Laptop_3050Ti,83.4,43.0,23.28,3.69,2566.45,689.5,1491.5,546
